Country code,Artist,Song,Total score,Televoting score,Jury score,Placement
dk,Emmelie de Forest,Only Teardrops,281,0,0,1
az,Farid Mammadov,Hold Me,234,0,0,2
ua,Zlata Ognevich,Gravity,214,0,0,3
no,Margaret Berger,I Feed You My Love,191,0,0,4
ru,Dina Garipova,What If,174,0,0,5
gr,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,152,0,0,6
it,Marco Mengoni,L'Essenziale,126,0,0,7
mt,Gianluca,Tomorrow,120,0,0,8
nl,Anouk,Birds,114,0,0,9
hu,ByeAlex,Kedvesem (Zoohacker Remix),84,0,0,10
md,Aliona Moon,O Mie,71,0,0,11
be,Roberto Bellarosa,Love Kills,71,0,0,12
ro,Cezar,It's My Life,65,0,0,13
se,Robin Stjernberg,You,62,0,0,14
ge,Nodi Tatishvili & Sophie Gelovani,Waterfall,50,0,0,15
by,Alyona Lanskaya,Solayoh,48,0,0,16
is,Eythor Ingi,Ég Á Líf,47,0,0,17
am,Dorians,Lonely Planet,41,0,0,18
gb,Bonnie Tyler,Believe In Me,23,0,0,19
ee,Birgit,Et Uus Saaks Alguse,19,0,0,20
de,Cascada,Glorious,18,0,0,21
lt,Andrius Pojavis,Something,17,0,0,22
fr,Amandine Bourgeois,L'enfer Et Moi,14,0,0,23
fi,Krista Siegfrids,Marry Me,13,0,0,24
es,ESDM,Contigo Hasta El Final (With You Until The End),8,0,0,25
ie,Ryan Dolan,Only Love Survives,5,0,0,26
