Country code,Artist,Song,Total score,Televoting score,Jury score,Placement
se,Måns Zelmerlöw,Heroes,365,0,0,1
ru,Polina Gagarina,A Million Voices,303,0,0,2
it,Il Volo,Grande Amore,292,0,0,3
be,Loïc Nottet,Rhythm Inside,217,0,0,4
au,Guy Sebastian,Tonight Again,196,0,0,5
lv,Aminata Savadogo,Love Injected,186,0,0,6
ee,Elina Born & Stig Rästa,Goodbye to Yesterday,106,0,0,7
no,Mørland & Debrah Scarlett,A Monster Like Me,102,0,0,8
il,Nadav Guedj,Golden Boy,97,0,0,9
rs,Bojana Stamenov,Beauty Never Lies,53,0,0,10
ge,Nina Sublatti,Warrior,51,0,0,11
az,Elnur Hüseynov,Hour Of The Wolf,49,0,0,12
me,Knez,Adio,44,0,0,13
si,Maraaya,Here for You,39,0,0,14
ro,Voltaj,De La Capăt / All Over Again,35,0,0,15
am,Genealogy,Face The Shadow,34,0,0,16
al,Elhaida Dani,I'm Alive,34,0,0,17
lt,Monika & Vaidas,This Time,30,0,0,18
gr,Maria Elena Kyriakou,One Last Breath,23,0,0,19
hu,Boggie,Wars For Nothing,19,0,0,20
es,Edurne,Amanecer,15,0,0,21
cy,John Karayiannis,One Thing I Should Have Done,11,0,0,22
pl,Monika Kuszyńska,In The Name Of Love,10,0,0,23
gb,Electro Velvet,Still In Love,5,0,0,24
fr,Lisa Angell,N’oubliez pas,4,0,0,25
at,The Makemakes,I Am Yours,0,0,0,26
de,Ann Sophie,Black Smoke,0,0,0,27
