Country code,Artist,Song,Total score,Televoting score,Jury score,Placement
pt,Salvador Sobral,Amar Pelos Dois,758,376,382,1
bg,Kristian Kostov,Beautiful Mess,615,337,278,2
md,Sunstroke Project,Hey Mamma,374,264,110,3
be,Blanche,City Lights,363,255,108,4
se,Robin Bengtsson,I Can't Go On,344,126,218,5
it,Francesco Gabbani,Occidentali's Karma,334,208,126,6
ro,Ilinca feat. Alex Florea,Yodel It!,282,224,58,7
hu,Joci Pápai,Origo,200,152,48,8
au,Isaiah Firebrace,Don't Come Easy,173,2,171,9
no,Jowst,Grab the Moment,158,29,129,10
nl,OG3NE,Lights And Shadows,150,15,135,11
fr,Alma,Requiem,135,90,45,12
hr,Jacques Houdek,My Friend,128,103,25,13
az,Dihaj,Skeletons,120,42,78,14
gb,Lucie Jones,Never Give Up on You,111,12,99,15
at,Nathan Trent,Running On Air,93,0,93,16
by,Naviband,Historyja Majho Zyccia,83,33,50,17
am,Artsvik,Fly With Me,79,21,58,18
gr,Demy,This is Love,77,29,48,19
dk,Anja,Where I Am,77,8,69,20
cy,Hovig,Gravity,68,32,36,21
pl,Kasia Moś,Flashlight,64,41,23,22
il,Imri Ziv,I Feel Alive,39,5,34,23
ua,O.Torvald,Time,36,24,12,24
de,Levina,Perfect Life,6,3,3,25
es,Manel Navarro,Do It for Your Lover,5,5,0,26
