Country code,Artist,Song,Total score,Televoting score,Jury score,Placement
at,Conchita Wurst,Rise Like a Phoenix,290,0,0,1
nl,The Common Linnets,Calm After The Storm,238,0,0,2
se,Sanna Nielsen,Undo,218,0,0,3
am,Aram MP3,Not Alone,174,0,0,4
hu,András Kállay-Saunders,Running,143,0,0,5
ua,Mariya Yaremchuk,Tick - Tock,113,0,0,6
ru,Tolmachevy Sisters,Shine,89,0,0,7
no,Carl Espen,Silent Storm,88,0,0,8
dk,Basim,Cliche Love Song,74,0,0,9
es,Ruth Lorenzo,Dancing in the rain,74,0,0,10
fi,Softengine,Something Better,72,0,0,11
ro,Paula Seling & OVI,Miracle,72,0,0,12
ch,Sebalter,Hunter Of Stars,64,0,0,13
pl,Donatan & Cleo,My Słowianie - We Are Slavic,62,0,0,14
is,Pollapönk,No Prejudice,58,0,0,15
by,Teo,Cheesecake,43,0,0,16
gb,Molly,Children of the Universe,40,0,0,17
de,Elaiza,Is It Right,39,0,0,18
me,Sergej Ćetković,Moj Svijet,37,0,0,19
gr,Freaky Fortune feat. RiskyKidd,Rise Up,35,0,0,20
it,Emma,La Mia Città,33,0,0,21
az,Dilara Kazimova,Start A Fire,33,0,0,22
mt,Firelight,Coming Home,32,0,0,23
sm,Valentina Monetta,Maybe (Forse),14,0,0,24
si,Tinkara Kovač,Round and Round,9,0,0,25
fr,TWIN TWIN,Moustache,2,0,0,26
