Country code,Artist,Song,Total score,Televoting score,Jury score,Placement
de,Lena,Satellite,246,0,0,1
tr,maNga,We Could Be The Same,170,0,0,2
ro,Paula Seling & Ovi,Playing With Fire,162,0,0,3
dk,Chanée & N'evergreen,In A Moment Like This,149,0,0,4
az,Safura,Drip Drop,145,0,0,5
be,Tom Dice,Me And My Guitar,143,0,0,6
am,Eva Rivas,Apricot Stone,141,0,0,7
gr,Giorgos Alkaios & Friends,OPA,140,0,0,8
ge,Sofia Nizharadze,Shine,136,0,0,9
ua,Alyosha,Sweet People,108,0,0,10
ru,Peter Nalitch & Friends,Lost And Forgotten,90,0,0,11
fr,Jessy Matador,Allez Olla Olé,82,0,0,12
rs,Milan Stanković,Ovo Je Balkan,72,0,0,13
il,Harel Skaat,Milim,71,0,0,14
es,Daniel Diges,Algo Pequeñito,68,0,0,15
al,Juliana Pasha,It's All About You,62,0,0,16
ba,Vukašin Brajić,Thunder and Lightning,51,0,0,17
pt,Filipa Azevedo,Há Dias Assim,43,0,0,18
is,Hera Björk,Je Ne Sais Quoi,41,0,0,19
cy,Jon Lilygreen & The Islanders,Life Looks Better In Spring,27,0,0,21
md,Sunstroke Project & Olia Tira,Run Away,27,0,0,22
ie,Niamh Kavanagh,It's For You,25,0,0,23
by,3+2,Butterflies,18,0,0,24
gb,Josh,That Sounds Good To Me,10,0,0,25
