Country code,Artist,Song,Total score,Televoting score,Jury score,Placement
rs,Marija Šerifović,Molitva,268,0,0,1
ua,Verka Serduchka,Dancing Lasha Tumbai,235,0,0,2
ru,Serebro,Song # 1,207,0,0,3
tr,Kenan Dogulu,Shake It Up Shekerim,163,0,0,4
bg,Elitsa Todorova & Stoyan Yankulov,Water,157,0,0,5
by,Dmitry Koldun,Work Your Magic,145,0,0,6
gr,Sarbel,Yassou Maria,139,0,0,7
am,Hayko,Anytime You Need,138,0,0,8
hu,Magdi Rúzsa,Unsubstantial Blues,128,0,0,9
md,Natalia Barbu,Fight,109,0,0,10
ba,Marija Sestic,Rijeka Bez Imena,106,0,0,11
ge,Sopho,My Story,97,0,0,12
ro,Todomondo,Liubi, Liubi, I Love You,84,0,0,13
mk,Karolina,Mojot Svet,73,0,0,14
si,Alenka Gotar,Cvet Z Juga,66,0,0,15
lv,Bonaparti.lv,Questa Notte,54,0,0,16
fi,Hanna Pakarinen,Leave Me Alone,53,0,0,17
se,The Ark,The Worrying Kind,51,0,0,18
de,Roger Cicero,Frauen Regieren Die Welt,49,0,0,19
es,NASH,I Love You Mi Vida,43,0,0,20
lt,4Fun,Love Or Leave,28,0,0,21
fr,Les Fatals Picards,L'amour à La Française,19,0,0,22
gb,Scooch,Flying The Flag (for You),19,0,0,22
ie,Dervish,They Can't Stop The Spring,5,0,0,24
