Country code,Artist,Song,Total score,Televoting score,Jury score,Placement
se,Loreen,Euphoria,372,0,0,1
ru,Buranovskiye Babushki,Party For Everybody,259,0,0,2
rs,Željko Joksimović,Nije Ljubav Stvar,214,0,0,3
az,Sabina Babayeva,When The Music Dies,150,0,0,4
al,Rona Nishliu,Suus,146,0,0,5
ee,Ott Lepland,Kuula,120,0,0,6
tr,Can Bonomo,Love Me Back,112,0,0,7
de,Roman Lob,Standing Still,110,0,0,8
it,Nina Zilli,L'Amore È Femmina (Out Of Love),101,0,0,9
es,Pastora Soler,Quédate Conmigo,97,0,0,10
md,Pasha Parfeny,Lăutar,81,0,0,11
ro,Mandinga,Zaleilah,71,0,0,12
mk,Kaliopi,Crno I Belo,71,0,0,13
lt,Donny Montell,Love Is Blind,70,0,0,14
ua,Gaitana,Be My Guest,65,0,0,15
cy,Ivi Adamou,La La Love,65,0,0,16
gr,Eleftheria Eleftheriou,Aphrodisiac,64,0,0,17
ba,Maya Sar,Korake Ti Znam,55,0,0,18
ie,Jedward,Waterline,46,0,0,19
is,Greta Salóme & Jónsi,Never Forget,46,0,0,20
mt,Kurt Calleja,This Is The Night,41,0,0,21
fr,Anggun,Echo (You And I),21,0,0,22
dk,Soluna Samay,Should've Known Better,21,0,0,23
hu,Compact Disco,Sound Of Our Hearts,19,0,0,24
gb,Engelbert Humperdinck,Love Will Set You Free,12,0,0,25
no,Tooji,Stay,7,0,0,26
